solute_MolWt,solvent_MolWt,solvent_FractionCSP3,solvent_HeavyAtomCount,solvent_FractionCSP3,solvent_HeavyAtomCount,solvent_NHOHCount,solvent_NOCount,solvent_NumAliphaticCarbocycles,solvent_NumAliphaticHeterocycles,solvent_NumAliphaticRings,solvent_NumAromaticCarbocycles,solvent_NumAromaticHeterocycles,solvent_NumAromaticRings,solvent_NumHAcceptors,solvent_NumHDonors,solvent_NumHeteroatoms,solvent_NumRotatableBonds,solvent_NumSaturatedCarbocycles,solvent_NumSaturatedHeterocycles,solvent_NumSaturatedRings,solvent_RingCount,solvent_MolLogP,solvent_MolMR,solute,solute_SMILES,solvent,solvent_SMILES,concentration_M,Log_concentration,liquid at room temp_Y/N,csid,identifier,notes
128.033425368,88.052429496,0.75,6.0,0.75,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.5694,22.30699999999999,1-H-tetrazole-1-acetic acid,O=C(O)Cn1nnnc1,ethyl acetate,O=C(OCC)C,0.15829895231879,-0.8005219594501771,n,472932,REF1222,
128.033425368,32.026214748,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3915,8.1428,1-H-tetrazole-1-acetic acid,O=C(O)Cn1nnnc1,methanol,CO,3.6422295507457,0.5613673136391745,n,472932,REF1222,
243.901625468,130.135765196,1.0,9.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.3392,40.4618,"1-methoxy-2,3,4,5-tetrachlorobenzene",Clc1c(OC)cc(Cl)c(Cl)c1Cl,1-octanol,OCCCCCCCC,0.2754228703,-0.5600000000533231,n,13060,REF1283,
243.901625468,130.135765196,1.0,9.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.3392,40.4618,"1-methoxy-2,3,4,5-tetrachlorobenzene",Clc1c(OC)cc(Cl)c(Cl)c1Cl,1-octanol,OCCCCCCCC,0.301995172040202,-0.5199999999999995,n,13060,REF1308-Abraham M.H. and Acree Jr. W.E. The solubility of liquid and solid compounds in dry octan-1-ol. Chemosphere (2013),25C
243.901625468,130.135765196,1.0,9.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.3392,40.4618,"1-methoxy-2,3,4,5-tetrachlorobenzene",Clc1c(OC)cc(Cl)c(Cl)c1Cl,1-octanol,OCCCCCCCC,0.275422870333817,-0.5599999999999994,n,13060,REF1308-Abraham M.H. and Acree Jr. W.E. The solubility of liquid and solid compounds in dry octan-1-ol. Chemosphere (2013),25C
180.093900384,130.135765196,1.0,9.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.3392,40.4618,1-methylfluorene,c32c(c1cccc(c1C2)C)cccc3,1-octanol,OCCCCCCCC,0.27542287,-0.5600000005263714,n,14844,REF997-Kia Sepassi and Samuel H. Yalkowsky. Solubility Prediction in Octanol: A Technical Note. AAPS PharmSciTech 2006; 7 (1) Article 26,
180.093900384,130.135765196,1.0,9.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.3392,40.4618,1-methylfluorene,c32c(c1cccc(c1C2)C)cccc3,1-octanol,OCCCCCCCC,0.2754228703,-0.5600000000533231,n,14844,REF1283,
180.093900384,130.135765196,1.0,9.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.3392,40.4618,1-methylfluorene,CC1=C2CC3=CC=CC=C3C2=CC=C1,1-octanol,OCCCCCCCC,0.275422870333817,-0.5599999999999994,n,14844,REF1308-Abraham M.H. and Acree Jr. W.E. The solubility of liquid and solid compounds in dry octan-1-ol. Chemosphere (2013),25C
173.047678464,74.07316494,1.0,5.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.7787999999999999,21.9938,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,1-butanol,CCCCO,0.37252418803181,-0.4288455232171668,n,6588,REF1144-Hoover,25C
173.047678464,158.167065324,1.0,11.0,1.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,3.119400000000001,49.69580000000003,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,1-decanol,OCCCCCCCCCC,0.35539350932725,-0.4492905081263839,n,6588,REF1144-Hoover,25C
173.047678464,116.120115132,1.0,8.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.9491,35.84479999999999,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,1-heptanol,OCCCCCCC,0.38169667301165,-0.4182816254818124,n,6588,REF1144-Hoover,25C
173.047678464,102.104465068,1.0,7.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.559,31.22779999999998,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,1-hexanol,CCCCCCO,0.39303797355212,-0.4055654880280304,n,6588,REF1144-Hoover,25C
173.047678464,130.135765196,1.0,9.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.3392000000000013,40.4618,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,1-octanol,CCCCCCCCO,0.37901821090609,-0.4213399227337201,n,6588,REF1144-Hoover,25C
173.047678464,88.088815004,1.0,6.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.1689,26.610799999999987,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,1-pentanol,OCCCCC,0.38687841215512,-0.4124255032678453,n,6588,REF1144-Hoover,25C
173.047678464,60.057514876,1.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3887,17.376800000000003,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,1-propanol,CCCO,0.38210194999643,-0.4178207459532338,n,6588,REF1144-Hoover,25C
173.047678464,74.07316494,1.0,5.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7772,21.971799999999995,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,2-butanol,OC(C)CC,0.35315687846799,-0.4520323305381146,n,6588,REF1144-Hoover,25C
173.047678464,130.135765196,1.0,9.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,2.1951,40.3918,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,2-ethyl-1-hexanol,OCC(CC)CCCC,0.26091221782641,-0.5835055835661163,n,6588,REF1144-Hoover,25C
173.047678464,88.088815004,1.0,6.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0248,26.540799999999987,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,2-methyl-1-butanol,OCC(C)CC,0.27117326925086,-0.5667531230240227,n,6588,REF1144-Hoover,25C
173.047678464,102.104465068,1.0,7.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.4149,31.15779999999998,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,2-methyl-1-pentanol,OCC(C)CCC,0.2915010148581,-0.535359928910094,n,6588,REF1144-Hoover,25C
173.047678464,74.07316494,1.0,5.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6347,21.9238,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,2-methyl-1-propanol,CC(C)CO,0.18602802068962,-0.7304216347372843,n,6588,REF1144-Hoover,25C
173.047678464,74.07316494,1.0,5.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7771999999999999,21.971799999999995,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,2-methyl-2-propanol,CC(C)(C)O,0.24536560624205,-0.6101863139241241,n,6588,REF1144-Hoover,25C
173.047678464,88.088815004,1.0,6.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.1673,26.588799999999985,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,2-pentanol,OC(C)CCC,0.29560000962876,-0.5292955561306717,n,6588,REF1144-Hoover,25C
173.047678464,60.057514876,1.0,4.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3871,17.354800000000004,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,2-propanol,CC(C)O,0.27581251844146,-0.5593860261708024,n,6588,REF1144-Hoover,25C
173.047678464,88.088815004,1.0,6.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0248,26.540799999999987,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,3-methyl-1-butanol,OCCC(C)C,0.29171195066655,-0.5350457786183298,n,6588,REF1144-Hoover,25C
173.047678464,102.104465068,1.0,7.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.4133,31.135799999999985,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,4-methyl-2-pentanol,OC(C)CC(C)C,0.2465856958758,-0.6080321198829718,n,6588,REF1144-Hoover,25C
173.047678464,41.026549096,0.5,3.0,0.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.52988,11.287,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,acetonitrile,CC#N,4.0309989756649,0.6054126877925605,n,6588,REF1144-Hoover,25C
173.047678464,78.046950192,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6866,26.442,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,benzene,c1ccccc1,3.8842793053672,0.589310451003854,n,6588,REF1144-Hoover,25C
173.047678464,69.057849224,0.75,5.0,0.75,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.31008,20.521,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,butyronitrile,CCCC#N,3.6106518168381,0.5575856104659785,n,6588,REF1144-Hoover,25C
173.047678464,84.093900384,1.0,6.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.3406,27.701999999999984,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,cyclohexane,C1CCCCC1,0.23394224836443,-0.6308913405052577,n,6588,REF1144-Hoover,25C
173.047678464,112.12520051199999,1.0,8.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.120800000000002,36.93599999999999,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,cyclooctane,C1CCCCCCC1,0.25453156914537,-0.5942583451332588,n,6588,REF1144-Hoover,25C
173.047678464,86.07316494,1.0,6.0,1.0,6.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.9213,24.47479999999999,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,cyclopentanol,C1CCC(C1)O,0.67570740422779,-0.170241322161818,n,6588,REF1144-Hoover,25C
173.047678464,142.172150704,1.0,10.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.147000000000004,48.28400000000003,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,decane,CCCCCCCCCC,0.14278104116114,-0.8453294554850779,n,6588,REF1144-Hoover,25C
173.047678464,130.135765196,1.0,9.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,2.603200000000001,40.635000000000005,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,dibutyl ether,O(CCCC)CCCC,0.60837084337661,-0.2158316080050939,n,6588,REF1144-Hoover,25C
173.047678464,74.07316494,1.0,5.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0428000000000002,22.166999999999994,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,diethyl ether,CCOCC,2.1772438727865,0.3379070770308112,n,6588,REF1144-Hoover,25C
173.047678464,102.104465068,1.0,7.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.8198,31.35699999999997,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,diisopropyl ether,O(C(C)C)C(C)C,0.77485554785555,-0.1107792531279127,n,6588,REF1144-Hoover,25C
173.047678464,46.041864812,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0014,12.759800000000002,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,ethanol,CCO,0.45352549614945,-0.3433982928910624,n,6588,REF1144-Hoover,25C
173.047678464,62.036779432,1.0,4.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,-1.029,14.171600000000002,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,ethylene glycol,C(CO)O,0.08134808912001,-1.0896526442560988,n,6588,REF1144-Hoover,25C
173.047678464,100.12520051199999,1.0,7.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.976700000000002,34.432999999999986,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,heptane,CCCCCCC,0.13781940994237,-0.860689613798208,n,6588,REF1144-Hoover,25C
173.047678464,226.26605108799998,1.0,16.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,6.487600000000007,75.98600000000008,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,hexadecane,CCCCCCCCCCCCCCCC,0.1378739150012,-0.8605178922188123,n,6588,REF1144-Hoover,25C
173.047678464,86.109550448,1.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.5866000000000007,29.81599999999998,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,hexane,CCCCCC,0.13661500615796,-0.8645015939659351,n,6588,REF1144-Hoover,25C
173.047678464,114.14085057599999,1.0,8.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.2227000000000023,38.98,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,isooctane,CC(C)CCCCC,0.1017234891641,-0.9925787517333852,n,6588,REF1144-Hoover,25C
173.047678464,88.088815004,1.0,6.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4313,26.761999999999983,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,methyl tert-butyl ether,O(C(C)(C)C)C,1.7630439625975,0.2462631418373016,n,6588,REF1144-Hoover,25C
173.047678464,98.109550448,1.0,7.0,1.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.5866000000000007,32.24899999999998,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,methylcyclohexane,CC1CCCCC1,0.21887138348169,-0.6598110169081404,n,6588,REF1144-Hoover,25C
173.047678464,128.15650064,1.0,9.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.7569000000000026,43.667000000000016,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,nonane,CCCCCCCCC,0.14299093525278,-0.8446914932655561,n,6588,REF1144-Hoover,25C
173.047678464,114.14085057599999,1.0,8.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.3668000000000022,39.05,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,octane,CCCCCCCC,0.13965564506748,-0.854941504845848,n,6588,REF1144-Hoover,25C
173.047678464,55.042199159999996,0.6666666666666666,4.0,0.6666666666666666,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.91998,15.904000000000002,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,propionitrile,CCC#N,3.8963886879446,0.5906622738250557,n,6588,REF1144-Hoover,25C
173.047678464,140.15650064,1.0,10.0,1.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.612800000000002,46.03000000000002,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,tert-butylcyclohexane,CC(C)(C)C1CCCCC1,0.17676557322836,-0.7526023140560778,n,6588,REF1144-Hoover,25C
173.047678464,92.062600256,0.1428571428571428,7.0,0.1428571428571428,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.99502,31.17899999999999,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,toluene,Cc1ccccc1,3.5620583097053,0.5517010244410885,n,6588,REF1144-Hoover,25C
173.047678464,156.187800768,1.0,11.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.537100000000004,52.90100000000004,1-nitronaphthalene,[O-][N+](=O)c2cccc1ccccc12,undecane,C(CCCCCCCC)CC,0.14123897550074,-0.8500454413212672,n,6588,REF1144-Hoover,25C
173.047678464,130.135765196,1.0,9.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.3392,40.4618,1-nitronaphthalene,C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],1-octanol,OCCCCCCCC,0.377572190925416,-0.423,n,6588,REF1308-Abraham M.H. and Acree Jr. W.E. The solubility of liquid and solid compounds in dry octan-1-ol. Chemosphere (2013),25C
269.308250248,41.026549096,0.5,3.0,0.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.52988,11.287,1-octadecylamine,NCCCCCCCCCCCCCCCCCC,acetonitrile,N#CC,0.08,-1.0969100130080565,n,15016,ONSC69-9-,
269.308250248,46.041864812,1.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0014,12.759800000000002,1-octadecylamine,NCCCCCCCCCCCCCCCCCC,ethanol,OCC,1.77,0.2479732663618066,n,15016,ONSC69-7-,
269.308250248,32.026214748,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.3914999999999999,8.142800000000001,1-octadecylamine,NCCCCCCCCCCCCCCCCCC,methanol,OC,1.68,0.2253092817258628,n,15016,ONSC69-6-,
269.308250248,72.057514876,1.0,5.0,1.0,5.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.7968000000000001,20.053,1-octadecylamine,NCCCCCCCCCCCCCCCCCC,THF,O1CCCC1,1.68,0.2253092817258628,n,15016,ONSC69-8-,
269.308250248,92.062600256,0.1428571428571428,7.0,0.1428571428571428,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.99502,31.178999999999988,1-octadecylamine,NCCCCCCCCCCCCCCCCCC,toluene,c1ccccc1C,1.34,0.1271047983648076,n,15016,ONSC69-10-,
269.308250248,86.109550448,1.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.5866000000000007,29.81599999999998,1-octadecylamine,NCCCCCCCCCCCCCCCCCC,hexane,CCCCCC,0.13,-0.8860566476931632,n,15016,REF908-Hoerr C.W;  Harwood H.J. Solubilities of high molecular weight aliphatic compounds in n-hexane J. Org. Chem. vol 16 (5) 779–791 (1951) [http://dx.doi.org/10.1021/jo01145a020],20C
179.930033136,130.135765196,1.0,9.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.3392,40.4618,"1,2,3-trichlorobenzene",Clc1cccc(Cl)c1Cl,1-octanol,OCCCCCCCC,1.230268771,0.0900000000662307,n,13864445,REF997-Kia Sepassi and Samuel H. Yalkowsky. Solubility Prediction in Octanol: A Technical Note. AAPS PharmSciTech 2006; 7 (1) Article 26,
